datetime	content	title	channels
2020-08-28 23:58:23	  纳指刷新日高至11700点上方，日内当前涨幅超过0.6%。		市场 国际
2020-08-28 23:57:08	【广州港集团、中交四航局与揭阳市政府合作建设大南海公共码头】据广州港集团消息，8月28日上午，广州港集团与揭阳市政府以及中交第四航务工程局签订港口合作框架协议，三方将以临港产业发展为导向，高标准、高质量谋划推进揭阳港惠来沿海港区大南海2号港池公共码头建设，推动揭阳港榕江内河港区港口资源整合利用，推动揭阳港对接融入粤港澳大湾区世界级港口群。		市场 国际
2020-08-28 23:51:14	  【海岬型船费率走低，波罗的海干散货指数录得下跌】波罗的海干散货指数在周五下跌16点或1.1%，报1488点，本周累计涨0.5%。海岬型船运价指数下跌46点，或2%，至2218点，本周累计涨2.7%，日均获利下跌381美元至18394美元。巴拿马型船运价指数下跌2点至1617点，连续第十个交易日下跌，日均获利下滑19美元至14549美元。超灵便型船运价指数持平，报958点。		市场
2020-08-28 23:44:47	  【欧洲三大股指集体收跌】德国DAX指数跌0.51%报13029.15点；英国富时100指数跌0.62%报5962.93点；法国CAC40指数跌0.26%报5002.94点。		市场 国际
2020-08-28 23:41:43	  黎巴嫩央行行长：将尽一切努力推动国际货币基金组织的谈判。		观点 国际
2020-08-28 23:40:57	  在岸人民币兑美元（CNY）北京时间23:30收报6.8646元，较周四夜盘收盘涨299点。成交量323.98亿美元，较周四下降21.47亿美元。		市场
2020-08-28 23:40:49	  英国CMC集团市场分析师David Madden：美元大幅下跌支撑了黄金。美联储方面表示，可以让通胀在一段时间内超过2%的目标，似乎他们将保持极其宽松的货币政策，这应该有助于黄金。		观点 国际
2020-08-28 23:37:30	  消息人士：德国政府将上调其对今年经济增速的预测，从此前预计的萎缩6.3%上调至萎缩不到6%。		观点
2020-08-28 23:34:46	  现货黄金突破1970美元/盎司，日内涨2.15%。		市场 焦点
2020-08-28 23:32:09	【深圳中院发布实施意见为创业板改革并试点注册制全面提供司法保障】为充分发挥司法职能，全面服务保障创业板改革并试点注册制顺利运行，作为试点集中管辖涉创业板案件的法院, 深圳中院8月28日发布了《关于服务保障创业板改革并试点注册制的实施意见》。坚持市场化、法治化方向，为建设规范、透明、开放、有活力、有韧性的资本市场营造良好的法治环境。http://t.cn/A64AyuKQ		焦点
2020-08-28 23:30:50	【国内期市夜盘多数上涨 能化品表现强劲】国内商品期货夜盘多数上涨，能源化工品表现强劲，玻璃涨3.26%，纸浆涨2.65%，聚丙烯涨1.49%，塑料涨1.37%，LPG涨1.09%。黑色系全线上涨，焦炭涨1.81%，铁矿石涨1.64%，焦煤涨0.94%，螺纹钢涨0.46%，动力煤涨0.39%，热轧卷板涨0.38%。农产品涨跌不一，粳米跌1.04%，豆二跌0.12%，玉米跌0.09%，玉米跌0.09%，豆粕跌0.07%。		市场
2020-08-28 23:29:07	美股黄金板块走高。哈莫尼黄金涨超10%，金田涨5.2%，金罗斯黄金涨4.8%。		行业
2020-08-28 23:27:35	英国新增9例新冠肺炎死亡病例。		国际
2020-08-28 23:27:06	现货黄金涨幅扩大至2%，现报1967.88美元/盎司。		市场
2020-08-28 23:24:08	英国报告新增1276例新冠肺炎确诊病例。		国际 疫情
2020-08-28 23:21:01	【广电运通与揭阳市政府签订智慧城市建设战略协议】据广电运通消息，8月28日，揭阳市招商合作项目签约仪式举行，39个签约项目计划总投资超1000亿元。其中，揭阳市政府与广电运通签订战略合作协议，双方拟合资在揭阳市注册登记成立粤东总部公司，设立人工智能研发机构，以城市智慧停车、智慧警务、智慧政务等领域为切入点，以“共建共治共享”的方式布局落地新基建、新城建项目，助力揭阳积极融入粤港澳大湾区智慧城市群建设中。		公司
