id,name,money
sh600299,安迪苏,355.3519186725
sh600309,万华化学,2840.8427472048006
sh600332,白云山,470.01861255200004
sh600340,华夏幸福,546.7766974274001
sh600346,恒力石化,1689.38394864
sh600352,浙江龙盛,461.322457748
sh600362,江西铜业,450.20133717792
sh600369,西南证券,344.8811635356001
sh600372,中航电子,301.95835389900003
sh600383,金地集团,644.6825340816
sh600390,五矿资本,312.1657428546
sh600398,海澜之家,301.075397908
sh600406,国电南瑞,1079.6853750848
sh600436,片仔癀,1358.06703971
sh600438,通威股份,1391.4091694580002
sh600482,中国动力,358.673148754
sh600487,亨通光电,293.500477296
sh600489,中金黄金,457.5863060416
sh600498,烽火通信,294.4104319
sh600516,方大炭素,252.7164324352
sh600519,贵州茅台,21792.39381462
sh600522,中天科技,328.07771027499996
sh600547,山东黄金,1001.3179952205561
sh600570,恒生电子,927.9878621551999
sh600583,海油工程,198.51883052
sh600585,海螺水泥,2824.0168663536006
sh600588,用友网络,1527.5084264172
sh600606,绿地控股,771.460988009
sh600637,东方明珠,319.2557687935
sh600655,豫园股份,374.783029526
sh600660,福耀玻璃,996.58264102672
sh600674,川投能源,454.3012873224
sh600690,海尔智家,1826.5418785098307
sh600703,三安光电,1111.3245785148
sh600705,中航资本,396.9388709015
sh600741,华域汽车,1051.433448664
sh600745,闻泰科技,1344.7817370262
sh600760,中航沈飞,724.281338202
sh600795,国电电力,406.76323539149996
sh600809,山西汾酒,2222.3970783
sh600837,海通证券,1571.5339595162447
sh600848,上海临港,467.56459768639803
sh600867,通化东宝,294.72493611330003
sh600886,国投电力,653.9501469527
sh600887,伊利股份,2373.0609360533
sh600893,航发动力,970.5428620557999
sh600900,长江电力,4687.097187303
sh600919,江苏银行,698.44304981
sh600926,杭州银行,777.4492766351999
sh600928,西安银行,230.66666669550003
sh600958,东方证券,727.9867465191
sh600968,海油发展,243.96250077599998
sh600977,中国电影,238.7893
sh600989,宝丰能源,796.402896
sh600998,九州通,338.22286329850004
sh600999,招商证券,1693.7252680228285
sh601006,大秦铁路,967.8281260641
sh601009,南京银行,811.5690765103
sh601012,隆基股份,2642.1650593755
sh601018,宁波港,616.48927743
sh601021,春秋航空,424.32223611899997
sh601066,中信建投,2864.50815974054
sh601077,渝农商行,465.00892825728823
sh601088,中国神华,3350.7049353394
sh601100,恒立液压,1191.79368
sh601108,财通证券,457.95640000000003
sh601111,中国国航,987.2005377955223
sh601117,中国化学,283.1542
sh601138,工业富联,2877.2105392888
sh601155,新城控股,788.9507754256
sh601162,天风证券,396.62505316
sh601166,兴业银行,3841.1478698599
sh601169,北京银行,1008.5203497743998
sh601186,中国铁建,1077.5467867642399
sh601198,东兴证券,350.8125955704
sh601211,国泰君安,1515.4249286903653
sh601212,白银有色,208.0741637591
sh601216,君正集团,502.06203470500003
sh601225,陕西煤业,999.0
sh601229,上海银行,1118.05380869
sh601231,环旭电子,498.727155045
sh601236,红塔证券,642.7494145524
sh601238,广汽集团,1122.688881664197
sh601288,农业银行,11019.697984986637
sh601298,青岛港,381.1300642415
sh601318,中国平安,14418.101914073013
sh601319,中国人保,2513.3335702151403
sh601328,交通银行,3090.612093111833
sh601336,新华保险,1523.172742488392
sh601360,三六零,1023.4015467671001
sh601377,兴业证券,581.2711013032
sh601390,中国中铁,1278.3666348369002
sh601398,工商银行,17058.852597939716
sh601555,东吴证券,383.7833200012
sh601577,长沙银行,304.518284106
sh601600,中国铝业,499.72923936957756
sh601601,中国太保,2896.020526107
sh601607,上海医药,496.30592792356254
sh601618,中国中冶,506.447159525
sh601628,中国人寿,9870.455623636999
sh601633,长城汽车,1903.5554034528
sh601658,邮储银行,3954.52390915992
sh601668,中国建筑,2228.3452972340997
sh601669,中国电建,608.9015939551999
sh601688,华泰证券,1595.3176384535104
sh601698,中国卫通,696.0
sh601727,上海电气,687.5959123734801
sh601766,中国中车,1486.498531208575
sh601788,光大证券,767.69506932114
sh601800,中国交建,1079.49769196166
sh601808,中海油服,429.30296695272006
sh601816,京沪高铁,2843.2654589769
sh601818,光大银行,2034.5631966945402
sh601828,美凯龙,327.40335539955817
sh601838,成都银行,363.3924842004
sh601857,中国石油,7280.0741573436
sh601877,正泰电器,694.2264596179
