ts_code	trade_date	close	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv
300559.SZ	20201014	20.21	0.9694	2.148	0.67	39.3815	35.4813	7.9394	13.8506	13.5522	0.3126	0.9896	39953.0242	29574.203	13346.4602	807450.6191	597694.6426
300559.SZ	20201013	20.2	1.3077	2.8978	0.82	39.362	35.4638	7.9354	13.8437	13.5455	0.3127	0.9901	39953.0242	29574.203	13346.4602	807051.0888	597398.9006
300559.SZ	20201012	20.07	1.1991	2.6571	0.79	39.1087	35.2355	7.8844	13.7546	13.4583	0.3148	0.9965	39953.0242	29574.203	13346.4602	801857.1957	593554.2542
300559.SZ	20201009	19.83	1.4912	3.3043	1.1	38.641	34.8142	7.7901	13.5902	13.2974	0.3186	1.0086	39953.0242	29574.203	13346.4602	792268.4699	586456.4455
300559.SZ	20200930	19.22	1.8269	4.0483	1.62	37.4524	33.7433	7.5505	13.1721	12.8883	0.3287	1.0406	39953.0242	29574.203	13346.4602	767897.1251	568416.1817
300559.SZ	20200929	18.75	1.3782	3.0538	1.35	36.5365	32.9181	7.3658	12.85	12.5732	0.3369	1.0667	39953.0242	29574.203	13346.4602	749119.2038	554516.3063
300559.SZ	20200928	19.0	2.033	4.5049	2.42	37.0237	33.357	7.464	13.0213	12.7408	0.3325	1.0526	39953.0242	29574.203	13346.4602	759107.4598	561909.857
300559.SZ	20200925	20.03	0.873	1.9345	1.07	39.0307	35.1653	7.8687	13.7272	13.4315	0.3154	0.9985	39953.0242	29574.203	13346.4602	800259.0747	592371.2861
300559.SZ	20200924	20.2	0.6521	1.4449	0.77	39.362	35.4638	7.9354	13.8437	13.5455	0.3127	0.9901	39953.0242	29574.203	13346.4602	807051.0888	597398.9006
300559.SZ	20200923	20.46	0.7197	1.5947	0.77	39.8687	35.9202	8.0376	14.0219	13.7198	0.3088	0.9775	39953.0242	29574.203	13346.4602	817438.8751	605088.1934
300559.SZ	20200922	20.1	0.8093	1.7934	0.76	39.1672	35.2882	7.8962	13.7752	13.4784	0.3143	0.995	39953.0242	29574.203	13346.4602	803055.7864	594441.4803
300559.SZ	20200921	20.09	1.1444	2.5358	1.07	39.1477	35.2707	7.8922	13.7683	13.4717	0.3144	0.9955	39953.0242	29574.203	13346.4602	802656.2562	594145.7383
300559.SZ	20200918	20.38	0.696	1.5422	0.63	39.7128	35.7798	8.0062	13.9671	13.6662	0.3092	0.979	39953.0242	29574.203	13346.4602	814242.6332	602722.2571
300559.SZ	20200917	20.1	0.8026	1.7784	0.61	39.1672	35.2882	7.8962	13.7752	13.4784	0.3143	0.995	39953.0242	29574.203	13346.4602	803055.7864	594441.4803
300559.SZ	20200916	20.05	1.203	2.6657	0.84	39.0697	35.2004	7.8765	13.7409	13.4449	0.3151	0.9975	39953.0242	29574.203	13346.4602	801058.1352	592962.7702
300559.SZ	20200915	20.27	1.4564	3.2273	0.97	39.4984	35.5867	7.9629	13.8917	13.5924	0.3117	0.9867	39953.0242	29574.203	13346.4602	809847.8005	599469.0948
300559.SZ	20200914	20.77	1.1586	2.5673	0.62	40.4727	36.4645	8.1594	14.2344	13.9277	0.3042	0.9629	39953.0242	29574.203	13346.4602	829824.3126	614256.1963
300559.SZ	20200911	20.06	0.9292	2.0589	0.44	39.0892	35.218	7.8804	13.7478	13.4516	0.3149	0.997	39953.0242	29574.203	13346.4602	801457.6655	593258.5122
300559.SZ	20200910	19.97	1.8615	4.1248	0.87	38.9138	35.06	7.8451	13.6861	13.3913	0.3163	1.0015	39953.0242	29574.203	13346.4602	797861.8933	590596.8339
300559.SZ	20200909	21.17	1.7651	3.9114	0.87	41.2522	37.1667	8.3165	14.5085	14.1959	0.2984	0.9447	39953.0242	29574.203	13346.4602	845805.5223	626085.8775
300559.SZ	20200908	21.94	1.7565	3.8923	0.91	42.7526	38.5186	8.619	15.0362	14.7123	0.2879	0.9116	39953.0242	29574.203	13346.4602	876569.3509	648858.0138
300559.SZ	20200907	21.75	3.0775	6.8194	1.94	42.3824	38.185	8.5444	14.906	14.5849	0.2904	0.9195	39953.0242	29574.203	13346.4602	868978.2764	643238.9153
300559.SZ	20200904	22.19	2.1762	4.8223	1.46	43.2398	38.9575	8.7172	15.2075	14.8799	0.2847	0.9013	39953.0242	29574.203	13346.4602	886557.607	656251.5646
300559.SZ	20200903	21.49	1.9116	4.2358	1.42	41.8757	37.7285	8.4422	14.7278	14.4105	0.294	0.9307	39953.0242	29574.203	13346.4602	858590.4901	635549.6225
300559.SZ	20200902	21.48	1.2792	2.8345	0.82	41.8562	37.711	8.4383	14.721	14.4038	0.2941	0.9311	39953.0242	29574.203	13346.4602	858190.9598	635253.8804
300559.SZ	20200901	21.23	1.2409	2.7497	0.73	41.3691	37.2721	8.3401	14.5496	14.2362	0.2976	0.9421	39953.0242	29574.203	13346.4602	848202.7038	627860.3297
