ts_code	trade_date	close	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv
300595.SZ	20200408	57.1	0.6131	1.0573	0.6	106.8468	75.3161	17.3668	50.4011	35.6804	0.136	0.136	40463.868	28788.5929	16694.9373	2310486.8628	1643828.6546
300595.SZ	20200407	57.43	0.9601	1.6555	0.87	107.4643	75.7514	17.4672	50.6924	35.8866	0.1352	0.1352	40463.868	28788.5929	16694.9373	2323839.9392	1653328.8902
300595.SZ	20200403	56.54	0.8361	1.4418	0.69	105.7989	74.5774	17.1965	49.9068	35.3305	0.1373	0.1373	40463.868	28788.5929	16694.9373	2287827.0967	1627707.0426
300595.SZ	20200402	56.55	1.1312	1.9507	0.87	105.8176	74.5906	17.1995	49.9156	35.3367	0.1373	0.1373	40463.868	28788.5929	16694.9373	2288231.7354	1627994.9285
300595.SZ	20200401	54.55	0.9003	1.5525	0.63	102.0752	71.9526	16.5912	48.1503	34.087	0.1423	0.1423	40463.868	28788.5929	16694.9373	2207303.9994	1570417.7427
300595.SZ	20200331	55.24	1.2415	2.1408	0.79	103.3663	72.8627	16.8011	48.7593	34.5182	0.1405	0.1405	40463.868	28788.5929	16694.9373	2235224.0683	1590281.8718
300595.SZ	20200330	53.39	1.4197	2.4482	0.89	99.9045	70.4225	16.2384	47.1264	33.3621	0.1454	0.1454	40463.868	28788.5929	16694.9373	2160365.9125	1537022.9749
300595.SZ	20200327	55.1	1.4046	2.4221	0.93	103.1043	72.6781	16.7585	48.6358	34.4307	0.1409	0.1409	40463.868	28788.5929	16694.9373	2229559.1268	1586251.4688
300595.SZ	20200326	54.45	1.5601	2.6903	1.03	101.888	71.8207	16.5608	48.062	34.0245	0.1426	0.1426	40463.868	28788.5929	16694.9373	2203257.6126	1567538.8834
300595.SZ	20200325	53.52	1.5618	2.6931	1.0	100.1478	70.594	16.278	47.2411	33.4434	0.145	0.145	40463.868	28788.5929	16694.9373	2165626.2154	1540765.492
300595.SZ	20200324	52.63	1.9509	3.3641	1.24	98.4824	69.4201	16.0073	46.4555	32.8872	0.1475	0.1475	40463.868	28788.5929	16694.9373	2129613.3728	1515143.6443
300595.SZ	20200323	49.21	1.4593	2.5164	0.9	92.0828	64.909	14.9671	43.4368	30.7501	0.1578	0.1578	40463.868	28788.5929	16694.9373	1991226.9443	1416686.6566
300595.SZ	20200320	51.7	1.0407	1.7946	0.59	96.7422	68.1934	15.7244	45.6346	32.3061	0.1502	0.1502	40463.868	28788.5929	16694.9373	2091981.9756	1488370.2529
300595.SZ	20200319	50.81	1.565	2.6987	0.86	95.0768	67.0195	15.4537	44.8491	31.75	0.1528	0.1528	40463.868	28788.5929	16694.9373	2055969.1331	1462748.4052
300595.SZ	20200318	51.41	1.7611	3.0367	1.0	96.1995	67.8109	15.6362	45.3787	32.1249	0.151	0.151	40463.868	28788.5929	16694.9373	2080247.4539	1480021.561
300595.SZ	20200317	50.49	2.0595	3.5515	1.27	94.478	66.5974	15.3564	44.5666	31.55	0.1538	0.1538	40463.868	28788.5929	16694.9373	2043020.6953	1453536.0555
300595.SZ	20200316	51.1	1.6969	2.9261	1.05	95.6194	67.402	15.5419	45.105	31.9312	0.1519	0.1519	40463.868	28788.5929	16694.9373	2067703.6548	1471097.0972
300595.SZ	20200313	54.5	1.7105	2.9495	1.11	101.9816	71.8866	16.576	48.1061	34.0557	0.1424	0.1424	40463.868	28788.5929	16694.9373	2205280.806	1568978.3131
300595.SZ	20200312	55.2	1.8829	3.2468	1.21	103.2914	72.81	16.7889	48.724	34.4932	0.1406	0.1406	40463.868	28788.5929	16694.9373	2233605.5136	1589130.3281
300595.SZ	20200311	57.72	1.4414	2.4856	0.94	108.0069	76.1339	17.5554	50.9484	36.0678	0.1345	0.1345	40463.868	28788.5929	16694.9373	2335574.461	1661677.5822
